cycle,task,method,instances,features,classes,accuracy,f1,optimization_time,prediction_time,no_features,best_trial
0,data/standardized/c_post-operative.csv,Baseline,87,8,3,0.7272727272727273,0.42105263157894735,2.384185791015625e-07,0.11228513717651367,8,0
0,data/standardized/c_post-operative.csv,Tree Based Filter,87,8,3,0.7727272727272727,0.4358974358974359,0.10398435592651367,0.10722088813781738,4,0
0,data/standardized/c_post-operative.csv,Tree Based Weighting,87,8,3,0.7727272727272727,0.4358974358974359,0.10398435592651367,0.10868358612060547,4,0
0,data/standardized/c_post-operative.csv,L1 Filter,87,8,3,0.7272727272727273,0.42105263157894735,0.0027899742126464844,0.10675954818725586,8,0
0,data/standardized/c_post-operative.csv,ReliefF,87,8,3,0.6818181818181818,0.4054054054054054,0.0052297115325927734,0.10698270797729492,6,0
0,data/standardized/c_post-operative.csv,ReliefF Weighting,87,8,3,0.6818181818181818,0.4054054054054054,0.0052297115325927734,0.10962986946105957,6,0
0,data/standardized/c_post-operative.csv,Forward Selection,87,8,3,0.36363636363636365,0.35833333333333334,1.6981563568115234,0.10703325271606445,1,0
0,data/standardized/c_post-operative.csv,Backwards Selection,87,8,3,0.7727272727272727,0.4358974358974359,1.592562198638916,0.10747408866882324,7,0
0,data/standardized/c_post-operative.csv,Stepwise Selection,87,8,3,0.7727272727272727,0.4358974358974359,1.6986584663391113,0.10699224472045898,3,0
0,data/standardized/c_post-operative.csv,Bayesian Selection,87,8,3,0.5909090909090909,0.5686274509803921,24.712653398513794,0.10728001594543457,2,0
0,data/standardized/c_post-operative.csv,Bayesian Weighting,87,8,3,0.7272727272727273,0.42105263157894735,989.6791913509369,0.11051368713378906,8,28
0,data/standardized/c_votes.csv,Baseline,435,16,2,0.8899082568807339,0.8847780126849893,2.384185791015625e-07,0.11031484603881836,16,0
0,data/standardized/c_votes.csv,Tree Based Filter,435,16,2,0.8899082568807339,0.8837953091684435,0.11008167266845703,0.10953283309936523,8,0
0,data/standardized/c_votes.csv,Tree Based Weighting,435,16,2,0.9541284403669725,0.9513609995537706,0.11008167266845703,0.11208820343017578,8,0
0,data/standardized/c_votes.csv,L1 Filter,435,16,2,0.8990825688073395,0.8939407341884122,0.0031175613403320312,0.10860514640808105,3,0
0,data/standardized/c_votes.csv,ReliefF,435,16,2,0.926605504587156,0.9225302061122956,0.020044803619384766,0.10911870002746582,12,0
0,data/standardized/c_votes.csv,ReliefF Weighting,435,16,2,0.926605504587156,0.9225302061122956,0.020044803619384766,0.11410689353942871,12,0
0,data/standardized/c_votes.csv,Forward Selection,435,16,2,0.944954128440367,0.9418976545842217,3.442035436630249,0.10886669158935547,1,0
0,data/standardized/c_votes.csv,Backwards Selection,435,16,2,0.8990825688073395,0.8947968763709748,3.3385231494903564,0.10935640335083008,15,0
0,data/standardized/c_votes.csv,Stepwise Selection,435,16,2,0.926605504587156,0.9225302061122956,6.881405353546143,0.10904335975646973,9,0
0,data/standardized/c_votes.csv,Bayesian Selection,435,16,2,0.908256880733945,0.9022596843615495,30.240785121917725,0.10912203788757324,6,51
0,data/standardized/c_votes.csv,Bayesian Weighting,435,16,2,0.944954128440367,0.9413558106169296,1477.9598157405853,0.11576509475708008,16,10
0,data/standardized/c_ionosphere.csv,Baseline,351,34,2,0.8181818181818182,0.749822316986496,2.384185791015625e-07,0.10904169082641602,34,0
0,data/standardized/c_ionosphere.csv,Tree Based Filter,351,34,2,0.7045454545454546,0.44787644787644787,0.13109230995178223,0.10862612724304199,17,0
